platform,day_of_week,publish_hour,post_format,content_category,caption_length,hashtag_count,caption_sentiment,has_call_to_action,follower_count,account_age_months,historical_avg_engagement,recent_engagement_trend,paid_promotion,engagement_score
X,Thursday,10,Image,Product,185,8,0.219,No,12901,83,31.266,-0.005,0,44.76
X,Thursday,0,Short Video,Entertainment,30,1,0.753,Yes,11132,35,7.651,0.253,0,52.359
LinkedIn,Thursday,23,Text,Entertainment,248,4,-0.484,No,3645,40,21.825,-0.097,0,30.351
Instagram,Saturday,16,Short Video,Behind the Scenes,114,3,0.538,Yes,4841,137,9.372,0.225,0,40.089
TikTok,Monday,12,Short Video,Lifestyle,258,4,0.751,No,23552,111,13.243,-0.03,0,64.678
Instagram,Monday,12,Image,Education,297,5,0.738,Yes,5900,109,23.962,-0.301,0,34.298
Instagram,Thursday,23,Carousel,Lifestyle,111,2,0.809,Yes,6362,62,35.213,0.467,1,69.911
Facebook,Friday,14,Short Video,Community,132,3,0.381,No,22433,116,5.943,-0.363,0,27.244
LinkedIn,Tuesday,4,Short Video,Product,164,4,-0.002,Yes,7575,93,13.03,-0.283,0,40.673
X,Friday,13,Short Video,Community,375,6,0.131,Yes,24575,107,7.15,0.164,0,35.465
TikTok,Monday,0,Short Video,Community,94,3,0.172,Yes,2246,61,23.089,0.04,0,50.554
TikTok,Tuesday,17,Image,Entertainment,87,4,0.552,Yes,3211,42,9.853,0.302,1,49.643
TikTok,Thursday,16,Long Video,Product,231,5,0.161,No,659,69,25.301,0.091,1,49.175
Instagram,Monday,11,Image,Product,60,7,0.807,No,28627,1,13.64,-0.133,0,30.781
Instagram,Friday,18,Short Video,Behind the Scenes,22,7,0.737,No,2395,8,18.453,-0.174,0,44.784
TikTok,Thursday,1,Long Video,Entertainment,298,4,-0.226,Yes,29068,51,15.57,0.062,0,44.612
Instagram,Thursday,2,Long Video,Entertainment,61,2,0.173,Yes,13818,121,21.034,-0.055,0,47.444
Facebook,Thursday,1,Image,Entertainment,355,7,0.788,No,7253,137,14.501,0.224,0,27.917
TikTok,Friday,12,Text,Lifestyle,159,4,-0.318,No,25160,98,10.517,0.236,0,38.362
LinkedIn,Friday,0,Image,Product,29,2,-0.037,No,20474,126,45.0,0.067,0,55.399
LinkedIn,Friday,5,Image,Lifestyle,66,5,0.367,Yes,1126,136,14.786,-0.194,0,30.943
TikTok,Tuesday,23,Long Video,Community,70,7,0.123,Yes,40487,92,45.0,-0.219,0,76.29
LinkedIn,Friday,4,Image,Education,117,7,-0.116,No,8386,18,22.798,0.048,0,36.607
LinkedIn,Tuesday,22,Carousel,Community,243,3,0.394,No,2667,41,8.799,-0.223,0,33.783
TikTok,Monday,18,Text,Behind the Scenes,101,6,1.0,Yes,12430,69,22.737,-0.372,0,51.059
Instagram,Sunday,9,Image,Behind the Scenes,79,3,0.477,Yes,1476,115,26.91,0.313,0,57.779
Facebook,Tuesday,17,Long Video,Lifestyle,244,2,-0.034,Yes,34947,36,34.021,0.133,0,46.364
Instagram,Monday,16,Short Video,Community,52,5,-0.06,No,10482,47,29.557,0.191,0,47.727
Instagram,Wednesday,14,Carousel,Community,217,4,-0.137,Yes,14677,14,5.707,-0.038,0,49.274
Instagram,Sunday,1,Short Video,Lifestyle,219,3,0.614,Yes,31156,7,23.364,0.206,0,54.141
LinkedIn,Sunday,1,Carousel,Lifestyle,169,4,-0.239,No,14703,88,19.096,0.216,1,52.231
Facebook,Saturday,16,Long Video,Behind the Scenes,15,5,0.679,Yes,6164,78,18.784,-0.1,0,45.88
LinkedIn,Tuesday,9,Long Video,Community,146,3,0.46,No,30620,96,15.95,-0.127,0,45.948
LinkedIn,Friday,10,Carousel,Behind the Scenes,77,4,-0.058,Yes,13197,50,19.464,0.111,0,50.696
TikTok,Saturday,15,Short Video,Behind the Scenes,95,6,0.273,No,99197,112,4.483,0.15,0,54.336
Facebook,Wednesday,11,Short Video,Lifestyle,33,5,-0.163,Yes,73031,123,22.051,-0.021,0,55.06
Instagram,Tuesday,8,Long Video,Lifestyle,12,3,0.026,No,17912,72,7.557,0.377,0,40.951
Instagram,Sunday,2,Image,Behind the Scenes,113,6,0.111,No,10936,111,45.0,0.115,0,53.988
Facebook,Monday,23,Carousel,Lifestyle,143,4,0.36,No,6590,84,28.133,-0.002,0,45.748
TikTok,Sunday,9,Carousel,Behind the Scenes,137,10,0.027,Yes,28752,104,20.195,0.56,0,57.759
Facebook,Thursday,19,Short Video,Product,86,5,0.128,Yes,693,33,28.086,-0.449,0,37.017
LinkedIn,Saturday,4,Image,Community,33,2,0.026,Yes,2069,71,28.846,0.47,0,36.149
Facebook,Wednesday,7,Short Video,Community,40,4,0.13,No,8501,134,13.409,0.228,0,50.554
Facebook,Friday,0,Text,Community,439,9,0.378,No,2498,44,22.551,0.274,0,28.326
Facebook,Sunday,1,Image,Education,65,4,0.085,No,3409,40,36.798,0.529,0,58.564
TikTok,Thursday,9,Short Video,Education,233,8,1.0,No,2586,80,31.979,0.379,0,56.899
Instagram,Tuesday,7,Image,Entertainment,13,2,0.575,No,7452,89,8.974,0.505,0,33.488
TikTok,Monday,2,Short Video,Entertainment,123,7,0.008,No,2459,46,19.125,-0.347,0,49.529
Instagram,Sunday,5,Image,Lifestyle,126,4,-0.517,Yes,20304,80,20.305,-0.147,0,43.082
TikTok,Sunday,4,Text,Education,105,6,0.666,No,380,31,4.077,0.277,0,44.991
X,Friday,18,Carousel,Product,169,2,0.323,Yes,41064,121,20.11,-0.219,0,44.115
Instagram,Monday,7,Text,Education,8,7,0.3,Yes,5056,68,32.249,-0.033,0,39.244
Instagram,Sunday,7,Image,Community,125,7,0.014,No,23374,70,0.601,0.225,0,24.1
Instagram,Thursday,10,Text,Community,86,2,0.482,Yes,515,117,24.697,-0.168,0,53.514
TikTok,Tuesday,4,Image,Behind the Scenes,85,3,0.951,Yes,32813,52,31.146,-0.421,0,49.089
Facebook,Wednesday,5,Image,Entertainment,84,5,0.474,Yes,2997,3,32.902,0.418,0,57.636
Facebook,Sunday,4,Text,Education,152,5,0.333,No,3063,19,45.0,-0.011,0,52.427
LinkedIn,Saturday,22,Carousel,Lifestyle,88,10,-0.157,Yes,11248,50,24.149,0.276,0,41.45
Facebook,Friday,14,Short Video,Community,91,2,-0.3,Yes,9403,61,6.517,0.124,0,25.566
TikTok,Saturday,22,Short Video,Lifestyle,77,3,-0.011,Yes,78861,120,18.605,0.102,0,77.635
LinkedIn,Saturday,20,Carousel,Entertainment,442,6,0.685,Yes,15125,28,8.574,-0.612,0,47.233
Instagram,Friday,5,Image,Education,11,4,-0.199,No,16957,132,45.0,0.184,0,58.809
Instagram,Wednesday,1,Text,Education,111,4,0.65,Yes,6598,125,7.806,-0.119,0,35.597
Instagram,Monday,10,Short Video,Behind the Scenes,68,7,-0.094,Yes,19933,22,8.688,-0.316,0,42.075
LinkedIn,Monday,8,Text,Community,67,6,0.617,Yes,14723,27,24.968,-0.135,0,42.713
TikTok,Tuesday,14,Long Video,Behind the Scenes,22,6,-0.126,No,28708,103,7.775,0.132,0,47.973
Instagram,Saturday,3,Long Video,Product,32,4,0.319,Yes,47406,81,29.716,-0.191,0,42.878
TikTok,Monday,4,Short Video,Education,187,5,0.744,Yes,3979,24,14.382,0.121,0,68.065
Instagram,Monday,4,Image,Community,252,8,0.338,Yes,3906,48,13.759,0.071,0,34.529
LinkedIn,Sunday,15,Text,Product,30,5,-0.317,Yes,21466,130,6.652,0.182,0,36.38
TikTok,Wednesday,4,Text,Product,153,11,0.307,No,19628,31,43.299,-0.199,0,63.403
TikTok,Monday,10,Short Video,Product,157,7,0.429,Yes,16180,131,32.123,-0.282,0,52.887
TikTok,Sunday,6,Text,Entertainment,138,3,0.78,Yes,8205,94,18.369,0.209,0,59.216
Facebook,Sunday,0,Image,Product,116,7,0.699,Yes,25380,41,18.301,-0.284,0,29.537
TikTok,Thursday,4,Carousel,Behind the Scenes,211,4,0.261,Yes,19664,45,14.619,0.147,0,60.156
Instagram,Monday,6,Image,Entertainment,50,3,0.431,Yes,12066,103,4.497,-0.058,0,39.392
Instagram,Friday,19,Short Video,Entertainment,55,4,0.777,Yes,3847,47,41.806,0.11,0,82.87
X,Sunday,4,Carousel,Entertainment,148,3,0.661,No,2869,3,32.813,0.233,0,45.781
X,Sunday,13,Image,Product,179,5,-0.008,No,1869,104,31.523,-0.08,0,48.835
LinkedIn,Friday,19,Short Video,Education,114,4,0.393,Yes,110038,15,16.501,-0.023,0,61.449
Instagram,Sunday,23,Carousel,Product,121,8,-0.673,Yes,1793,143,12.844,-0.038,0,53.698
X,Saturday,11,Short Video,Community,219,8,-0.351,Yes,21389,94,12.359,-0.084,0,45.231
LinkedIn,Tuesday,0,Image,Entertainment,260,6,0.105,No,6257,11,22.25,-0.609,0,44.918
LinkedIn,Friday,4,Image,Lifestyle,423,4,0.124,No,31543,126,5.842,-0.282,0,11.771
TikTok,Friday,13,Short Video,Entertainment,49,6,-0.487,No,8148,57,9.322,0.168,0,55.31
Instagram,Saturday,13,Image,Product,50,2,0.9,Yes,21822,2,14.127,0.074,0,32.302
Instagram,Thursday,23,Carousel,Entertainment,516,5,0.626,No,1338,10,21.789,0.277,0,51.851
X,Saturday,10,Carousel,Product,125,4,0.411,Yes,69694,7,12.94,-0.07,0,39.744
TikTok,Friday,10,Text,Product,179,8,0.686,Yes,6988,22,31.489,0.018,0,56.947
Instagram,Tuesday,10,Image,Product,76,7,0.524,Yes,1078,53,17.348,0.158,0,39.477
TikTok,Thursday,6,Carousel,Behind the Scenes,209,4,-0.021,No,3893,2,25.542,-0.411,1,60.285
Facebook,Sunday,4,Long Video,Community,29,4,0.03,No,3069,144,7.19,0.365,0,36.198
Instagram,Saturday,22,Carousel,Entertainment,35,5,0.692,Yes,43945,101,3.916,-0.012,0,35.143
X,Friday,15,Short Video,Entertainment,322,9,0.915,Yes,6313,38,15.311,-0.33,0,54.955
LinkedIn,Wednesday,20,Long Video,Lifestyle,209,6,1.0,No,113101,7,30.164,0.273,0,64.366
LinkedIn,Tuesday,19,Image,Community,74,2,-0.093,No,147572,50,12.292,0.121,0,43.173
TikTok,Tuesday,21,Text,Lifestyle,212,7,0.814,No,299742,135,30.241,-0.075,0,87.657
Facebook,Wednesday,11,Short Video,Entertainment,112,5,0.677,No,23805,50,3.417,-0.065,0,27.532
Facebook,Sunday,6,Long Video,Community,37,4,1.0,No,12008,61,23.792,0.383,1,52.586
Facebook,Thursday,3,Text,Education,139,4,0.376,No,335612,112,20.8,-0.042,0,39.697
Instagram,Wednesday,19,Text,Behind the Scenes,116,2,0.136,Yes,45357,39,6.932,0.419,0,32.619
TikTok,Sunday,6,Image,Community,63,4,0.034,No,5704,20,19.567,-0.032,0,54.03
Instagram,Wednesday,20,Short Video,Education,47,4,0.433,No,5025,5,2.779,0.264,0,30.665
TikTok,Saturday,7,Carousel,Community,219,6,0.522,Yes,10607,7,4.462,0.187,0,46.05
TikTok,Friday,3,Short Video,Product,132,9,0.759,Yes,6857,115,9.712,0.393,0,56.061
Instagram,Wednesday,21,Long Video,Community,127,4,0.064,Yes,4448,8,7.088,0.01,0,37.485
Instagram,Sunday,8,Carousel,Community,35,4,0.374,Yes,35342,57,6.068,0.181,0,45.876
Facebook,Friday,14,Short Video,Lifestyle,81,3,-0.494,No,1185,17,24.434,0.068,0,34.907
Instagram,Sunday,9,Short Video,Community,137,8,-0.332,Yes,7802,120,8.626,-0.2,0,31.146
X,Monday,22,Carousel,Community,46,3,0.292,No,41335,118,26.334,0.029,0,52.004
Facebook,Tuesday,4,Short Video,Community,241,3,0.048,Yes,9815,93,42.672,0.061,0,62.099
TikTok,Wednesday,7,Image,Entertainment,342,5,0.412,Yes,14895,72,16.615,0.024,0,47.614
Facebook,Friday,18,Short Video,Entertainment,188,6,-0.184,Yes,18332,69,26.457,0.265,1,63.461
Instagram,Saturday,20,Image,Entertainment,197,2,0.473,No,115109,10,13.902,-0.057,0,31.761
X,Monday,13,Long Video,Entertainment,128,2,0.041,No,35667,68,4.763,0.12,0,37.782
TikTok,Tuesday,19,Image,Lifestyle,234,4,0.539,No,8467,47,25.477,0.139,0,62.29
LinkedIn,Friday,14,Short Video,Community,168,9,0.2,Yes,25218,91,14.112,0.208,0,52.035
Instagram,Wednesday,22,Short Video,Community,147,7,-0.14,Yes,606,69,2.357,-0.176,0,24.724
TikTok,Friday,23,Carousel,Lifestyle,177,3,0.288,No,12286,20,19.173,0.15,0,59.665
TikTok,Monday,5,Short Video,Entertainment,99,5,0.515,Yes,906,89,2.175,0.038,0,47.414
X,Thursday,8,Text,Community,410,7,-0.206,Yes,3399,18,15.586,0.145,0,11.141
Facebook,Monday,22,Image,Education,37,2,-0.013,Yes,4555,39,19.361,-0.071,0,35.606
TikTok,Sunday,6,Short Video,Product,187,6,-0.067,No,1088,69,32.962,0.486,1,71.627
Instagram,Tuesday,15,Carousel,Entertainment,33,4,-0.487,Yes,39181,89,10.592,0.034,0,40.604
TikTok,Tuesday,23,Short Video,Product,104,6,1.0,Yes,2990,105,22.929,0.134,0,62.554
Facebook,Monday,17,Text,Lifestyle,148,4,0.43,Yes,5724,13,28.561,0.202,0,59.2
TikTok,Tuesday,15,Short Video,Education,88,4,0.257,Yes,4782,50,24.283,-0.567,0,54.826
Instagram,Thursday,4,Image,Entertainment,131,11,0.131,Yes,688,3,33.514,0.062,0,45.318
LinkedIn,Friday,5,Carousel,Product,18,4,0.373,No,4821,69,6.548,0.122,0,35.446
X,Sunday,5,Short Video,Community,116,6,0.83,No,1353,130,25.068,-0.051,0,45.972
Instagram,Sunday,1,Image,Behind the Scenes,76,6,0.412,No,39319,51,16.554,0.335,0,47.759
Facebook,Monday,23,Short Video,Education,147,4,0.739,Yes,10892,17,9.103,-0.027,1,54.655
Instagram,Wednesday,20,Short Video,Community,99,5,0.248,No,7594,23,19.875,0.224,0,59.299
Facebook,Sunday,18,Long Video,Product,31,3,0.138,Yes,6891,133,16.317,0.162,0,40.501
Instagram,Tuesday,18,Image,Education,107,2,0.351,Yes,24434,59,14.901,-0.2,0,38.694
Facebook,Friday,21,Short Video,Entertainment,60,5,0.432,No,5187,20,20.016,0.416,0,65.648
LinkedIn,Wednesday,17,Carousel,Education,126,4,-0.005,No,16379,87,16.992,-0.038,0,58.55
LinkedIn,Tuesday,6,Image,Entertainment,53,4,0.429,No,46722,26,16.827,-0.051,0,46.942
Instagram,Monday,5,Short Video,Entertainment,73,3,0.354,No,36505,19,22.817,-0.087,0,52.458
X,Wednesday,11,Short Video,Entertainment,88,4,0.752,No,10070,63,16.471,0.368,0,58.421
Instagram,Monday,4,Short Video,Product,219,3,0.136,No,82675,100,20.239,-0.076,1,47.663
Instagram,Tuesday,12,Text,Entertainment,66,4,0.008,Yes,35938,84,9.633,0.209,0,41.445
Facebook,Thursday,17,Image,Education,62,3,-0.177,Yes,20945,15,10.993,-0.349,0,40.589
TikTok,Saturday,6,Carousel,Behind the Scenes,56,3,0.272,No,8114,11,19.338,0.268,0,57.109
LinkedIn,Thursday,5,Image,Product,89,0,-0.191,No,2979,35,19.812,-0.129,0,39.16
LinkedIn,Saturday,3,Image,Entertainment,424,3,0.145,Yes,40970,77,2.955,-0.191,0,19.311
TikTok,Monday,13,Carousel,Community,169,4,0.246,No,1642,95,2.742,-0.397,0,34.758
X,Wednesday,4,Short Video,Community,364,4,0.332,No,34486,92,33.109,0.192,0,53.823
TikTok,Friday,21,Short Video,Education,94,8,0.054,No,28442,48,25.124,-0.377,0,73.679
Facebook,Monday,7,Carousel,Entertainment,107,6,-0.339,Yes,4028,123,11.654,-0.008,0,41.817
Instagram,Friday,19,Short Video,Product,124,6,-0.039,Yes,11496,123,28.019,0.122,0,61.675
X,Tuesday,10,Carousel,Education,142,8,0.664,No,10484,73,25.292,0.199,0,37.91
Instagram,Wednesday,20,Image,Community,163,6,-0.468,No,10189,44,20.017,0.508,0,50.5
Instagram,Friday,0,Short Video,Education,34,9,0.677,No,8445,117,21.162,-0.094,0,43.386
TikTok,Sunday,5,Long Video,Behind the Scenes,91,8,0.289,Yes,38582,59,27.318,-0.024,0,53.846
X,Monday,11,Long Video,Lifestyle,74,5,0.851,Yes,3598,109,30.926,0.215,0,55.242
X,Thursday,12,Image,Product,218,4,0.137,Yes,135873,139,20.451,-0.037,1,48.489
LinkedIn,Thursday,12,Carousel,Behind the Scenes,154,5,0.216,No,1095,113,20.498,-0.081,0,49.788
X,Monday,16,Short Video,Product,84,8,0.806,Yes,96395,59,14.877,0.124,0,48.67
X,Friday,11,Long Video,Product,157,3,0.542,Yes,19989,122,31.129,-0.045,0,57.53
Facebook,Monday,18,Image,Behind the Scenes,175,4,-0.19,No,106747,103,19.217,-0.132,0,36.623
TikTok,Friday,14,Image,Community,188,6,0.159,No,15499,85,7.01,-0.108,0,41.444
LinkedIn,Tuesday,21,Text,Lifestyle,59,4,0.554,No,4119,28,45.0,-0.102,0,48.397
Facebook,Monday,2,Image,Lifestyle,135,11,0.218,No,11438,76,23.127,-0.007,0,32.739
TikTok,Monday,16,Text,Product,83,3,0.359,No,19487,53,43.168,-0.499,0,56.533
Instagram,Thursday,21,Short Video,Entertainment,98,4,-0.504,No,34992,25,12.849,0.061,0,59.55
LinkedIn,Tuesday,1,Short Video,Education,60,4,0.112,Yes,1741,96,32.265,-0.394,0,44.658
Instagram,Thursday,5,Image,Product,173,5,0.023,No,2373,24,24.259,-0.089,0,33.452
X,Sunday,5,Text,Product,196,8,-0.131,Yes,4671,105,4.045,-0.15,0,21.304
Instagram,Saturday,10,Image,Product,135,7,0.405,Yes,17426,19,9.881,0.291,0,41.165
Instagram,Saturday,12,Carousel,Entertainment,189,3,0.832,No,9895,51,45.0,0.045,0,72.855
LinkedIn,Thursday,20,Image,Education,48,6,0.548,Yes,14630,78,1.348,0.113,0,38.075
Instagram,Monday,9,Image,Entertainment,265,3,0.347,No,14216,39,15.583,-0.108,0,45.503
Instagram,Wednesday,17,Short Video,Product,69,5,-0.734,Yes,11678,57,11.645,0.297,0,55.999
Facebook,Monday,20,Image,Education,179,3,-0.247,Yes,7791,18,17.624,-0.112,0,52.979
X,Monday,17,Short Video,Product,74,2,-0.275,Yes,34116,31,1.254,-0.483,0,20.667
Instagram,Wednesday,22,Short Video,Entertainment,287,5,-0.055,No,3449,130,23.645,0.064,0,60.094
TikTok,Friday,19,Short Video,Lifestyle,132,3,0.086,Yes,15962,125,45.0,-0.104,0,88.165
LinkedIn,Saturday,8,Short Video,Behind the Scenes,158,5,0.327,Yes,25637,89,25.871,0.13,0,60.14
X,Friday,23,Image,Lifestyle,106,6,0.27,No,9253,64,22.985,0.1,0,34.03
TikTok,Tuesday,22,Long Video,Lifestyle,180,3,-0.32,Yes,23721,64,23.51,0.241,0,72.279
Instagram,Saturday,0,Image,Community,216,5,0.036,Yes,11841,72,13.459,0.242,0,30.07
Instagram,Sunday,23,Short Video,Education,267,4,0.741,Yes,5335,131,15.763,0.088,0,47.892
Instagram,Friday,23,Text,Lifestyle,35,8,0.584,Yes,32362,96,17.884,-0.369,0,19.895
Instagram,Saturday,20,Long Video,Lifestyle,16,7,0.449,Yes,1536,41,25.977,0.129,0,54.626
Facebook,Sunday,22,Image,Entertainment,30,5,0.065,No,6129,132,45.0,0.293,0,42.444
Instagram,Saturday,19,Carousel,Behind the Scenes,158,3,-0.155,Yes,1090,96,21.279,-0.267,0,50.074
TikTok,Sunday,3,Text,Community,92,5,0.326,Yes,55974,40,14.298,-0.339,0,47.035
LinkedIn,Wednesday,0,Text,Education,129,3,0.229,Yes,6132,109,26.305,0.065,0,49.667
Facebook,Wednesday,7,Short Video,Behind the Scenes,57,2,-0.44,Yes,8997,42,33.021,-0.02,0,47.003
Instagram,Tuesday,0,Image,Entertainment,92,3,0.407,No,1915,109,20.226,0.043,1,46.464
LinkedIn,Tuesday,15,Carousel,Entertainment,226,2,0.936,No,3410,14,12.769,-0.08,1,60.494
LinkedIn,Thursday,20,Text,Community,83,5,0.213,No,6332,125,4.464,-0.169,0,24.272
LinkedIn,Sunday,21,Image,Lifestyle,57,5,0.127,Yes,30637,97,10.128,-0.23,1,42.041
Instagram,Tuesday,2,Long Video,Education,286,3,0.439,Yes,71352,7,8.602,0.292,0,32.909
Instagram,Friday,13,Carousel,Education,336,11,0.359,Yes,9776,4,15.754,-0.025,0,39.7
X,Monday,12,Long Video,Community,19,4,0.757,No,5680,91,30.782,-0.278,0,42.098
TikTok,Sunday,12,Image,Lifestyle,157,6,0.334,Yes,23304,108,32.431,0.183,0,66.971
TikTok,Thursday,21,Image,Lifestyle,219,5,0.048,Yes,13905,117,26.188,-0.017,0,75.977
TikTok,Thursday,2,Carousel,Entertainment,40,6,0.119,Yes,8640,11,23.477,0.241,0,67.315
Facebook,Wednesday,1,Text,Entertainment,101,6,-0.01,Yes,2205,42,1.506,-0.22,0,20.786
X,Sunday,17,Short Video,Community,166,1,0.384,Yes,12126,74,20.421,-0.565,0,23.889
Instagram,Wednesday,14,Short Video,Lifestyle,35,2,0.64,Yes,3653,15,5.653,0.48,0,40.444
X,Monday,11,Text,Behind the Scenes,74,6,0.387,Yes,617,132,12.885,-0.327,0,36.783
Instagram,Thursday,4,Carousel,Product,105,4,-0.24,Yes,13214,1,19.187,-0.227,0,49.479
Facebook,Friday,2,Text,Education,172,6,0.15,No,3917,135,34.293,0.032,1,48.705
Facebook,Saturday,15,Image,Lifestyle,41,2,-0.14,Yes,1182,40,24.801,0.116,0,36.557
Instagram,Thursday,21,Image,Behind the Scenes,104,4,0.755,Yes,45000,49,7.92,-0.45,0,33.195
Instagram,Tuesday,22,Short Video,Education,111,5,-0.525,No,945,97,24.456,0.626,0,45.105
TikTok,Monday,5,Text,Entertainment,105,3,0.375,No,5448,103,32.507,-0.5,1,54.57
X,Sunday,13,Short Video,Product,486,2,0.068,Yes,35817,48,12.216,-0.206,0,23.058
Facebook,Tuesday,12,Image,Entertainment,79,3,0.205,No,4899,23,22.488,-0.064,0,42.991
X,Wednesday,22,Text,Product,124,3,-0.02,No,5068,14,11.653,0.311,0,26.502
LinkedIn,Tuesday,20,Long Video,Behind the Scenes,232,4,0.681,No,20559,64,22.744,0.126,1,63.915
TikTok,Tuesday,2,Short Video,Community,186,3,0.022,No,2789,19,10.319,0.1,1,61.197
LinkedIn,Monday,16,Short Video,Lifestyle,104,1,0.362,No,37007,71,22.843,0.353,1,47.49
Instagram,Wednesday,19,Carousel,Community,152,2,0.679,No,5372,105,26.658,0.134,0,62.709
Instagram,Sunday,5,Image,Education,143,8,0.73,Yes,19789,4,21.713,-0.244,0,56.182
LinkedIn,Tuesday,8,Short Video,Community,203,6,-0.162,No,11334,72,16.329,0.063,0,35.509
LinkedIn,Sunday,23,Image,Education,47,1,0.603,Yes,20803,133,18.896,-0.29,0,35.009
Instagram,Friday,8,Short Video,Entertainment,164,3,-0.552,Yes,5374,120,45.0,0.245,1,65.883
Facebook,Sunday,2,Short Video,Lifestyle,59,4,0.215,No,5174,125,0.467,-0.022,0,37.538
Facebook,Friday,23,Short Video,Education,260,5,-0.115,No,4432,53,6.334,0.216,0,42.361
X,Sunday,19,Long Video,Behind the Scenes,60,1,0.488,No,29886,27,16.351,-0.039,0,48.097
Facebook,Thursday,1,Carousel,Product,82,3,0.548,No,693,105,16.316,0.037,0,40.405
TikTok,Saturday,11,Carousel,Education,53,10,0.447,Yes,2303,38,5.965,-0.01,1,52.41
TikTok,Monday,18,Image,Community,45,4,-0.033,Yes,100160,139,17.461,0.244,0,60.551
TikTok,Sunday,1,Carousel,Entertainment,121,2,0.636,No,5634,1,22.48,-0.091,1,59.323
Facebook,Monday,10,Image,Community,51,5,0.342,No,21389,15,24.394,-0.261,1,59.101
X,Tuesday,5,Image,Behind the Scenes,93,6,0.777,Yes,1771,1,20.656,0.402,0,35.009
TikTok,Saturday,3,Carousel,Education,182,6,-0.353,Yes,3832,45,11.204,0.01,0,53.512
Instagram,Tuesday,1,Carousel,Lifestyle,135,6,0.034,No,17807,132,26.996,0.094,0,50.171
Instagram,Monday,13,Text,Product,58,9,0.908,Yes,25948,119,8.842,-0.012,0,40.887
LinkedIn,Sunday,4,Image,Behind the Scenes,136,8,0.666,No,72179,116,23.955,0.685,0,47.362
LinkedIn,Thursday,17,Image,Product,61,9,0.199,Yes,3520,139,7.285,-0.501,0,12.007
Instagram,Thursday,21,Long Video,Lifestyle,26,7,0.479,Yes,3963,74,9.083,0.722,0,61.4
Instagram,Wednesday,12,Image,Education,60,2,0.061,Yes,33368,1,16.311,-0.113,0,27.641
Facebook,Saturday,7,Short Video,Product,34,7,0.494,Yes,32182,71,25.483,-0.365,0,55.035
Instagram,Wednesday,4,Long Video,Lifestyle,47,3,1.0,No,4982,85,14.946,-0.018,0,32.702
LinkedIn,Thursday,14,Short Video,Behind the Scenes,173,5,0.533,No,14595,143,15.393,0.079,0,61.213
TikTok,Monday,16,Carousel,Product,103,6,0.481,Yes,4670,81,19.447,-0.337,1,61.072
Instagram,Wednesday,4,Image,Behind the Scenes,147,3,0.148,Yes,40626,95,12.768,0.234,0,19.438
X,Monday,8,Text,Product,69,11,0.031,No,4815,105,20.614,0.141,0,26.283
Instagram,Tuesday,5,Text,Education,137,5,0.989,Yes,13368,131,14.335,0.383,0,43.58
